"zSES" "zACH" "BYACH" "byses" "retain" "sex"
-0.615608840098277 0.186200427740149 0.268251011203062 -0.529 1 0
-0.42631319001403 0.62551031205736 0.709135609490314 -0.377 1 0
-1.02657965936013 0.308392580993943 0.390881164369053 -0.859 1 1
-0.0975365346045484 -0.0620629947437494 0.0190976841356522 -0.113 1 1
-0.194675091884622 -0.56149917669378 -0.482128735550738 -0.191 1 1
-0.253207299476462 0.295785454070932 0.37822884697891 -0.238 1 0
-0.354081955113462 0.706001968565812 0.789915789750451 -0.319 1 1
-0.320457069901129 0.590598268270562 0.674098422871459 -0.292 1 1
-0.705275200664499 1.19477058158099 1.28043640241441 -0.601 1 1
-0.0439857914886101 0.825284784837372 0.90962617736487 -0.07 1 0
0.289772328396773 -0.00484603409316381 0.0765197399832189 0.198 1 0
0.162744984261291 -0.186194705985699 -0.105478979398053 0.096 1 0
0.212559629020304 1.39260549637284 1.47898045992126 0.136 1 0
0.154027421428464 -0.052365204802972 0.028830235974223 0.089 1 0
-0.0825921411768447 -0.71957315272845 -0.640769330519441 -0.101 1 1
0.180180109926945 -0.54889204977077 -0.469476418160597 0.11 1 1
-0.183466796813845 0.505257716791722 0.588451966692038 -0.182 1 1
-0.312984873187277 0.235659156438113 0.317887025579772 -0.286 1 1
-0.359063419589363 -1.53806662373005 -1.46219670569481 -0.323 1 1
-0.847246938227684 0.105708771231697 0.187470830942925 -0.715 1 0
0.304716721824476 -0.609018347403589 -0.529818239559735 0.21 1 1
0.975969059952168 0.946507159097088 1.031283075347 0.749 1 1
-0.296795113640598 0.948446717085244 1.03322958571472 -0.273 1 0
0.865131475363365 1.46630869992275 1.55294785389439 0.66 1 0
0.0543981319104393 1.30435560791177 1.39041423819026 0.009 1 0
-0.422577091657104 -1.03475132580371 -0.957077265272988 -0.374 1 1
-0.0738745783440175 -0.939712984384094 -0.861698257254995 -0.094 1 0
0.485294809075896 0.225961366497336 0.308154473741202 0.355 1 0
-0.488581495962795 -0.480037741191251 -0.400375300106745 -0.427 1 1
0.880075868791069 -0.695328677876506 -0.616437950923014 0.672 1 0
1.74809605371686 0.811707878920284 0.896000604790871 1.369 1 0
-1.58325831454209 -0.146433767228512 -0.0655755168599126 -1.306 1 1
0.804108535533575 0.643936112944837 0.727627457983599 0.611 1 1
0.531373355477983 0.297725012059088 0.380175357346625 0.392 1 1
-0.418840993300178 0.66430147182047 0.748065816844597 -0.371 1 1
1.36203255683451 1.79021488394471 1.87801508530265 1.059 1 0
1.67212872045937 1.44885267802935 1.53542926058497 1.308 1 0
-0.499789791033573 -0.0329696249214179 0.048295339651364 -0.436 1 0
-0.570775659815166 -1.26070983142382 -1.18384572311169 -0.493 1 0
0.137837661881785 -0.425730117522898 -0.345873009810749 0.076 1 0
-0.671650315452166 -1.29174275923431 -1.21498988899511 -0.574 1 0
-1.06518600904836 -0.050425646814817 0.0307767463419367 -0.89 0 0
-2.12499257629635 -0.0223020559865629 0.0590011466737917 -1.741 1 0
0.180180109926945 0.414098491348415 0.496965979409473 0.11 1 1
-0.00288870956242492 -1.13754789917595 -1.06024231476184 -0.037 1 0
-0.167277037267166 -0.388878515747944 -0.30888931282418 -0.169 1 0
0.205087432306452 -1.31210811810994 -1.23542824785611 0.13 1 1
-0.180976064575894 -1.0657842536142 -0.988221431156414 -0.18 1 0
-0.826075714205104 0.795221636020962 0.879455266665301 -0.698 1 0
0.515183595931304 1.08906467122651 1.17435158737399 0.379 1 0
0.522655792645155 0.885411082470192 0.969967998764009 0.385 1 0
-0.0402496931316842 0.353972193715596 0.436624158010335 -0.067 1 0
-0.437521485084808 -1.0483282317208 -0.970702837846987 -0.386 0 0
-0.669159583214215 1.32569074578148 1.41182585223512 -0.572 1 0
1.17273690675027 1.08130643927389 1.16656554590314 0.907 1 0
1.18768130017797 1.57104483128315 1.65805941375096 0.919 1 0
1.05567249156659 1.59334974814693 1.68044428297967 0.813 1 0
-0.158559474434339 1.12785583098962 1.21328179472828 -0.162 1 0
1.28481985745804 0.10473899223762 0.186497575759068 0.997 1 0
1.41060183547455 1.23938041530856 1.32520614087184 1.098 1 1
1.86142437054361 0.998875224777286 1.08383885527529 1.46 1 1
2.0283034304863 1.86100875051239 1.94906271372422 1.594 1 1
1.14160275377588 1.46533892092867 1.55197459871054 0.882 1 0
1.12790372646716 1.37417969548537 1.46048861142797 0.871 1 0
-0.0302867641798817 0.500408821821333 0.583585690772752 -0.059 1 0
1.53264771513413 1.76984952506908 1.85757672644165 1.196 1 0
-0.857209867179487 -0.687570445923885 -0.608651909452158 -0.723 1 1
-0.718974227973227 -0.769031881426414 -0.690405344896151 -0.612 1 1
0.191388404997723 -0.54016403882407 -0.460717121505883 0.119 1 0
1.81285509190358 2.36141471145649 2.45126238859447 1.421 1 0
-1.22708360451515 0.166804847858595 0.24878590752592 -1.02 1 0
-0.356572687351413 -1.22191867166071 -1.1449155157574 -0.321 1 1
0.916191486241353 -1.03475132580371 -0.957077265272988 0.701 1 0
-0.961820621173413 0.0378242416462567 0.11934296807293 -0.807 1 1
1.69952677507682 0.637147659986293 0.720814671696599 1.33 1 1
-1.53344366978308 -0.90286138260914 -0.824714560268427 -1.266 1 1
1.34086133281193 0.119285677148786 0.201096403516924 1.042 1 0
-0.12368922310303 0.256994294307823 0.339298639624628 -0.134 1 1
-0.502280523271524 -0.737998953615926 -0.659261179012725 -0.438 1 1
-0.0352682286557829 0.257964073301901 0.340271894808485 -0.063 1 0
0.880075868791069 0.558595561465997 0.641981001804176 0.672 1 0
0.895020262218773 -0.144494209240357 -0.0636290064921988 0.684 1 1
-0.000397977324474307 1.38484726442022 1.4711944184504 -0.035 1 0
1.48158770425614 0.41215893336026 0.495019469041759 1.155 1 0
-0.960575255054437 -1.12591055124702 -1.04856325255555 -0.806 1 1
-1.56955928723336 0.802979867973585 0.887241308136158 -1.295 0 1
2.04698392227093 1.08130643927389 1.16656554590314 1.609 1 0
1.82281802085538 1.44788289903527 1.53445600540111 1.429 1 1
0.658400699613464 -0.977534365153125 -0.899655209425421 0.494 1 0
0.856413912530538 0.54016976057852 0.623489153310892 0.653 1 0
1.66963798822141 -0.300628627286871 -0.220323091093187 1.306 1 1
1.5998974855588 0.805889204955818 0.890161073687729 1.25 1 0
1.7206979990994 1.69032764755471 1.77776980136538 1.347 1 1
0.990913453379871 0.0756456224152882 0.157299920243356 0.761 1 1
2.05321075286581 0.437373187206281 0.520324103822043 1.614 1 1
1.15903787944154 2.04041786441677 2.12911492273778 0.896 1 1
1.38071304861914 0.110557666202086 0.192337106862211 1.074 1 1
0.526391891002081 1.14919096885933 1.23469340877313 0.388 1 1
0.754293890774563 -0.688540224917962 -0.609625164636015 0.571 1 1
0.799127071057674 1.42460820317741 1.51109788098854 0.607 1 1
0.754293890774563 0.0659478324745108 0.147567368404785 0.571 1 1
