"M2ID" "mindfulness" "esteem" "B1SSUFFI" "B1PAGE_M2" "B1SMPQWB" "B1SDAYDI"
14103 28 22 4 74 8 18
17495 30 35 3 46 8 21
13170 32 48 4 60 9 9
10108 29 28 2.5 45 5 12
14962 30 34 2.5 43 6 14
11319 29 27 3 48 9 21
18473 31 40 2 50 9 18
15975 31 40 2.5 46 9 9
13133 32 46 3.5 71 7 9
14271 31 39 4 50 9 18
17059 31 39 2.5 54 8 13
16467 32 45 3.5 59 11 17
13936 29 25 3 40 8 15
16576 31 38 3 45 9 16
16237 31 38 2 58 7 9
12114 31 38 3.5 42 9 9
18628 30 31 4 41 8 13
10858 32 44 3.5 67 11 9
12244 32 43 4 73 10 9
15501 32 43 2.5 44 10 19
18222 32 42 4 48 11 15
12585 31 35 3.5 58 9 13
18018 33 48 3 69 6 9
11186 31.5 37 4 83 9 9
15227 31 33.5999984741211 2 47 11 13
17564 32 40 3.5 77 8 12
12590 31 33 4 43 11 18
15423 31 33 4 49 8 13
17449 33 46 2.5 64 9 9
14185 30 26 4 61 8 9
17132 30 26 3.5 34 8 22
17756 31 32 3 48 6 9
13130 30 25 3 44 3 12
17264 31 31 4 55 9 9
10015 31 31 3.5 53 6 11
12116 32 37.3330001831055 4 65 10 9
18359 31 30 4 49 8 22
12553 33 43 3.5 53 11 12
12939 33 43 4 64 9 9
12823 34 49 3.5 62 10 10
18503 34 49 4 41 11 9
12980 31 29 4 39 9 9
14639 33 42 3.5 74 9 18
19153 33 42 3 65 11 14
13356 33 42 3.5 43 9 12
11673 30 22 3 46 6 13
17140 34 48 4 44 10 9
10959 33 41 2.5 46 9 9
11600 31.5 31 2.5 52 10 9
18005 32 34 3.5 73 10 9
11887 32 34 2.5 52 9 12
16548 31 27 3.5 48 6 9
15673 32 33 4 59 8 10
10100 32 33 4 48 6 13
17998 31 26 3 79 6 17
12095 33 39 4 65 9 9
15858 32 32 4 61 10 9
17073 32 32 4 51 7 23
17072 32 32 3.5 78 8 NA
15029 34 45 1 57 9 9
10917 33 38 4 43 8 9
14957 32 31 1.5 81 10 10
13171 31 24 4 45 5 17
14352 33.75 42 2 68 9 13
12094 33 37 4 75 9 9
14295 32 30 3 44 7 15
13159 32 30 4 36 6 9
17759 34 43 4 65 11 9
10063 34 43 3.5 48 9 10
14864 34 43 3 54 10 9
12274 35 49 3.5 58 10 11
11665 34 42 3 79 9 12
17858 34 42 3 59 9 9
17422 31 22 2.5 82 9 15
11609 30 15 4 63 4 20
11210 35 48 1 75 9 16
13182 35 48 1 81 9 9
12135 34 41 2.5 59 7 9
17099 34 41 2 58 9 9
18140 31 21 4 46 7 13
15283 33 34 3.5 54 7 9
17610 35 47 4 45 11 13
14203 32 27 4 80 6 12
19111 35 46 3.5 64 9 9
12745 35 46 3.5 47 9 13
19062 35 46 2.5 58 11 18
11538 33 32 4 62 7 10
10326 34 38 4 56 9 13
17620 34 38 3 64 9 17
18727 34 38 3.5 57 9 9
17894 33 31 4 50 8 11
10684 33 31 3.5 62 8 18
11051 35 44 4 61 9 12
15157 35 44 4 43 9 9
15820 35 44 4 65 9 9
16967 35 44 4 62 11 9
12557 32 24 3 59 9 10
13595 35 43 3.5 54 8 9
13664 35 43 3 65 7 9
13950 36 49 4 70 10 11
16261 36 49 4 52 12 9
11165 35 42 3.5 57 10 9
18441 35 42 2.5 59 9 9
17423 35 42 2.5 77 9 9
13054 35 42 3 50 8 9
15395 35 42 4 74 7 15
10385 36 48 3 64 9 25
11237 33 28 3 58 7 18
11933 35 41 2.5 41 12 13
12853 35 41 1.5 46 12 9
13244 35 41 3 64 9 15
14999 34 34 3.5 56 5 17
17290 35 40 2.5 72 8 12
14308 35 40 3 53 10 11
16399 35 40 1.5 65 9 20
14992 35 40 2.5 59 11 9
19063 35 40 3 55 7 9
19083 34 33 1 48 10 20
11304 34 33 3 58 10 17
13282 36 46 3.5 64 11 16
13195 36 46 3 72 9 9
16178 33 26 3 65 9 20
14220 35 39 2 72 12 9
15177 33 25 4 51 9 17
14088 33 25 4 60 9 9
12909 35 38 3 39 10 9
11146 34 31 3.5 69 10 14
13184 34 31 4 47 7 16
16472 36 44 2.5 62 11 9
10427 36 44 2.5 65 9 9
16905 36 44 3.5 48 11 10
11770 36 44 1.5 38 12 9
14614 36 44 3 36 9 19
15201 35 37 3 44 9 14
17118 35 37 3 34 9 9
15731 35 37 4 67 9 9
13486 34 30 3.5 38 9 18
18795 34 30 3 80 9 14
16202 36 43 2.5 74 10 9
16654 36 43 1 60 12 9
18358 36 43 4 35 11 10
18376 36 43 3.5 60 9 9
19031 36 43 4 42 8 16
10302 33 23 2 55 6 14
13249 35 36 3 47 7 11
12685 36 42 3 63 9 11
14097 36 42 2 58 11 9
12085 36 42 3 53 11 22
18176 36 42 3.5 64 10 12
11576 33 22 3 39 6 18
17878 35 35 2.5 44 8 16
10884 35 35 3.5 49 6 12
16684 35 35 2.5 80 11 11
18349 34 28 4 57 8 18
14367 36 41 4 46 10 9
10303 36 41 3.5 50 8 11
18692 36 41 3 53 9 9
13810 34 26.8330001831055 3 65 9 23
12439 36 40 4 60 9 16
15737 36 40 2 64 10 9
15576 36 40 2 60 8 13
10511 36 40 4 79 8 9
12004 37.2859992980957 47.8330001831055 2 73 10 12
10298 36 39 3.5 69 11 17
12279 36 39 3 52 9 14
16320 35 32 3 48 9 21
16055 34 25 1.5 36 7 14
10916 36 38 2.5 40 8 9
11843 36 38 3 72 9 9
15290 36 38 1.5 56 10 9
16267 35 31 2 53 9 16
11178 37 44 3.5 56 10 23
16972 37 44 3 60 10 12
18047 36 37 2 50 10 16
16397 36 37 2.5 77 8 9
10725 36 37 3.5 46 10 23
12729 36 37 2 65 9 27
17048 36 37 2.5 39 10 9
15689 36 37 2 55 7 9
16412 35 30 3.5 64 7 27
11877 35 30 2.5 34 8 18
15085 35 30 3 81 9 10
16130 37 43 2 36 9 9
14337 37 43 4 73 8 15
17967 34 23 2.5 65 8 9
12562 36 36 3.5 71 10 9
15122 36 36 3.5 74 9 10
13883 38 49 4 57 12 15
12304 35 29 4 82 5 NA
19155 34.875 28 4 61 7 10
16813 36 35 3 76 9 11
14374 36 35 4 47 12 23
16943 36 35 3.5 40 10 9
16271 38 48 3 50 9 14
19018 35 28 3 37 9 9
11961 35 28 2.5 74 11 14
12309 37 41 2.5 36 9 9
13435 36 34 4 74 10 11
12813 38 47 2 71 9 9
13767 38 47 3 53 10 13
11445 35 27 4 41 8 23
18179 36 33 4 81 9 9
16998 36 33 2 51 8 9
15093 36 32 3 44 9 18
17182 33 12 4 47 4 18
17206 38 45 4 44 11 15
16769 37 38 3 61 9 18
14853 36 31 2.5 40 8 18
13838 36 31 3.5 83 5 9
14913 36 31 3 49 8 21
15411 35 24 3.5 44 9 19
16230 38 43 3.5 68 11 12
10418 38 43 2 42 10 18
11984 35 23 2.5 57 6 19
11817 37 36 3.5 36 11 9
16405 36 28 3 34 7 17
11196 36 28 4 53 8 18
16478 39 47 3.5 54 10 12
18149 36 27 3 68 7 9
11347 36 26.8330001831055 3 66 8 9
18129 38 40 3 59 11 9
13719 35 20 4 35 9 9
10759 36 26 2 71 11 9
10295 38 39 2 62 9 10
15665 39 45 2.5 43 9 12
17493 36 24.5 4 54 3 24
16147 37 31 2 49 8 10
11699 39 44 3.5 65 9 9
18411 39 44 2 54 12 13
13857 38 37 3 40 9 19
10261 38 36 2.5 36 9 18
10472 39 42 4 47 7 17
10717 39 42 4 52 8 9
16786 39 42 1.5 47 9 9
15675 39 42 3.5 62 10 9
16588 40 46 2.5 48 11 9
14621 39 39 3.5 46 11 14
17236 39 39 2 54 9 12
13211 38 31 4 75 9 18
10636 40 44 3 47 11 11
10998 40 44 3 73 8 9
14127 41 49 4 56 10 18
13199 40 42 3.5 53 10 16
17792 39 35 3 48 8 13
13047 39 35 1 41 12 16
10734 40 41 3 52 9 17
18039 39 34 3.5 34 6 18
10629 39 32 2.5 61 11 10
14285 38 25 2 46 9 18
15390 39.375 34 4 38 7 21
10756 40 38 2.5 45 9 11
16180 40 37 3.5 53 10 13
18369 39 30 3.5 57 NA 19
15670 41 43 3.5 52 12 15
12075 41 43 3.5 51 9 11
10443 41 43 2.5 65 11 13
17050 40 36 3.5 72 10 14
17095 42 49 3 76 12 9
18115 41 42 2.5 45 9 10
12282 41 42 4 45 11 19
17774 38.25 21 3.5 83 9 9
18578 42 45 2.5 76 9 11
14493 42 45 4 80 9 9
15625 38 18 4 44 5 21
16348 42 44 1 70 11 9
14476 41.625 40.8330001831055 3 48 6 25
17470 42 43 4 65 10 9
10335 42 43 1 43 10 13
10956 42 43 1 59 12 9
15209 42 43 4 80 12 9
16725 41 36 3 64 12 18
14219 42 42 3 69 11 12
14509 43 48 4 41 11 22
18344 42 40 3.5 35 12 16
13589 42.4290008544922 42 4 82 12 12
10879 40 24 3 57 11 23
18171 43 43 4 46 12 21
16959 43 43 2.5 55 12 19
18430 43 43 4 62 8 9
10531 43 42 4 56 7 14
14562 40 21 4 59 8 17
15146 44 44 3 46 10 19
10464 43 36 3 54 7 10
10159 43 36 4 75 10 14
18953 45 49 3 54 9 13
10137 43 35 1.5 57 8 9
17295 45 47.8330001831055 4 66 8 9
13989 45 46 2.5 75 9 9
14783 44 39 2.5 34 12 16
17923 44 39 2.5 64 12 14
16029 45 45 4 50 11 9
15655 45 44 2.5 56 12 9
13438 45 43 4 69 11 9
12003 45 43 3 50 12 13
14592 45 43 4 57 8 9
12390 45 43 4 64 12 16
11802 44 35 3.5 63 9 26
17467 41 15 4 45 10 15
15279 45 41 3.5 34 9 9
15251 45 39 4 36 11 9
14209 45 39 3 79 12 13
10828 45 37 2.5 43 8 12
14005 45 37 4 75 10 12
17566 45 37 3.5 49 11 11
15878 45 37 3.5 34 12 9
13266 45 36 2.5 56 9 12
14693 45 35 3.5 70 9 20
14587 45 30 2.5 59 12 9
19090 45 28 2 74 11 14
16375 45 27 4 73 10 23
