"zACH08" "zACH12" "zSES08" "race" "by2xcomp" "f22xcomp" "byses"
0.268251011203062 0.492850809841304 -0.571609237637433 4 53.38 56 -0.529
0.709135609490314 0.864822699616052 -0.38305828831782 4 57.91 59.76 -0.377
0.390881164369053 0.415686428451862 -0.980963272344489 4 54.64 55.22 -0.859
0.0190976841356522 NA -0.0555750605521754 4 50.82 NA -0.113
-0.482128735550738 -0.384646706728381 -0.152331468755661 4 45.67 47.13 -0.191
0.37822884697891 0.1367075111208 -0.210633407032121 4 54.51 52.4 -0.238
0.789915789750451 0.530443713595135 -0.311111215551125 4 58.74 56.38 -0.319
0.674098422871459 0.390954254929604 -0.277618612711457 4 57.55 54.97 -0.292
2.26342413811005 NA 0.811511212963678 4 73.88 NA 0.586
0.791862300118165 NA -0.6646442455254 4 58.76 NA -0.604
NA NA NA NA NA NA NA
NA -1.38580509090935 NA NA NA 37.01 NA
1.28043640241441 0.722365380127851 -0.660922845209882 4 63.78 58.32 -0.601
0.90962617736487 1.47916988990892 -0.00223498936307426 4 59.97 65.97 -0.07
0.0765197399832189 -0.303525177575377 0.330210105489928 4 51.41 47.95 0.198
-0.105478979398053 -0.307482325338939 0.203682494762293 4 49.54 47.91 0.096
1.47898045992126 1.11808015648397 0.253301165635876 4 65.82 62.32 0.136
0.028830235974223 -0.10566778939732 0.194999227359416 4 50.92 49.95 0.089
-0.640769330519441 -0.677475641231906 -0.0406894592901007 4 44.04 44.17 -0.101
-0.469476418160597 0.446354323619461 0.221049029568047 4 45.8 55.53 0.11
0.490153193122473 NA -1.81207600947699 4 55.66 NA -1.529
0.588451966692038 1.37529476111544 -0.141167267809105 4 56.67 64.92 -0.182
0.317887025579772 -0.103689215515539 -0.27017581208042 4 53.89 49.97 -0.286
NA NA NA NA NA NA NA
-1.5030734234168 NA -0.935066001786425 4 35.18 NA -0.822
-1.46219670569481 -0.699239953931492 -0.316073082638483 4 35.6 43.95 -0.323
0.187470830942925 NA -0.802336057199592 4 52.55 NA -0.715
-1.07192137696812 NA 1.21590338058338 4 39.61 NA 0.912
0.641007746620319 NA 1.0285928980356 3 57.21 NA 0.761
-0.816928518797571 NA 1.05960456733159 1 42.23 NA 0.786
0.74709256166074 NA 0.0610288160007434 4 58.3 NA -0.019
-0.661207689380439 NA 0.194999227359416 2 43.83 NA 0.089
-0.908414506080135 NA 0.0672311498599412 4 41.29 NA -0.014
-0.020805778402488 NA 0.338893372892805 3 50.41 NA 0.205
-0.659261179012725 NA 0.022574346073717 4 43.85 NA -0.05
-0.529818239559735 -0.207564344309019 0.345095706752003 5 45.18 48.92 0.21
NA -0.3826681328466 NA NA NA 47.15 NA
-1.00282025891427 NA -1.44737877855616 3 40.32 NA -1.235
0.150487133956357 NA 0.724678538934909 NA 52.17 NA 0.516
-0.170687076716477 NA -1.2352589605716 2 48.87 NA -1.064
1.031283075347 1.10917657401595 1.01370729677353 4 61.22 62.23 0.749
0.93298430177744 NA -0.0989913975665601 4 60.21 NA -0.148
0.020070939319509 NA 1.55951267638293 4 50.83 NA 1.189
1.03322958571472 1.08543368743459 -0.254049744046505 4 61.24 61.99 -0.273
1.55294785389439 1.0132157407496 0.903305754079806 4 66.58 61.26 0.66
NA -0.273846569348669 NA NA NA 48.25 NA
1.39041423819026 0.899447742547212 0.0957618856122511 4 64.91 60.11 0.009
-0.957077265272988 -1.23345490201225 -0.379336888002301 4 40.79 38.55 -0.374
-0.861698257254995 -0.24317867418107 -0.0320061918872237 4 41.77 48.56 -0.094
-0.850992450232567 NA -1.06035314574222 4 41.88 NA -0.923
0.384068378082053 NA -0.567887837321915 3 54.57 NA -0.526
NA 0.518572270304451 NA NA NA 56.26 NA
-1.36389793212524 NA -1.06035314574222 NA 36.61 NA -0.923
-0.52787172919202 NA 0.408359512115821 4 45.2 NA 0.261
0.308154473741202 0.542315156885818 0.524963388668739 4 53.79 56.5 0.355
-0.400375300106745 -0.216467926777032 -0.445081626909798 4 46.51 48.83 -0.427
-0.616437950923014 0.550229452412941 0.918191355341881 4 44.29 56.58 0.672
-1.40477464984724 NA 0.845003815803347 3 36.19 NA 0.613
0.896000604790871 0.540336583004038 1.78279669531406 4 59.83 56.48 1.369
-0.0655755168599126 -0.10665707633821 -1.53545191935677 4 49.95 49.94 -1.306
0.727627457983599 0.336543473180639 0.842522882259667 4 58.1 54.42 0.611
0.380175357346625 0.349404203412212 0.570860659226803 4 54.53 54.55 0.392
NA 0.522529418068012 -0.348325218706312 4 NA 56.3 -0.349
0.748065816844597 NA -0.375615487686782 4 58.31 NA -0.371
NA -0.476650392231177 NA NA NA 46.2 NA
1.87801508530265 1.14281233000622 1.39825199604379 4 69.92 62.57 1.059
NA 0.232668344387158 0.312843570684175 2 NA 53.37 0.184
NA NA NA NA NA NA NA
NA NA 1.12534930623909 4 NA NA 0.839
1.53542926058497 1.32286255324826 1.70712822223184 4 66.4 64.39 1.308
0.048295339651364 0.328629177653517 -0.456245827856354 4 51.12 54.34 -0.436
-1.18384572311169 NA -0.526952433851209 4 38.46 NA -0.493
-1.25586660671711 NA -0.196988272541886 4 37.72 NA -0.227
-0.345873009810749 0.0516288342042358 0.178873159325502 4 47.07 51.54 0.076
